Society,Zone,Sales,Delta Days
Ajinkyatara                    ,South      ,8408.400391,31
Viola                          ,West       ,2925,188
Somani Residency               ,West       ,1500,58
Palash Housing Society         ,West       ,7372.200195,79
River Residency                ,North      ,14476.7998,60
sun paradise                   ,Central    ,1909.199951,199
Atul Nagar                     ,West       ,1382.400024,41
jardin                         ,West       ,6229.799805,42
beverly hills                  ,West       ,3226.800049,69
Aeropolis                      ,North      ,5719.200195,57
Atria Soc                      ,North      ,2340,87
Life Republic 3                ,West       ,12286.2002,70
Life Republic 4                ,West       ,14869.7998,40
Hallmark Soc                   ,West       ,2883,63
Goodwill Soc                   ,West       ,2580,31
Gera Trinity Tower             ,North      ,2736,90
Ivy Estate                     ,North      ,17400,44
Roseland residency             ,West       ,13308,42
Rose Icon                      ,West       ,8094,83
Aditya Garden Society          ,West       ,9394.200195,27
SUYOG Aura                     ,West       ,2955,57
Tejowalay                      ,West       ,3083.399902,78
Oval Nest                      ,West       ,1956,71
The Cliff Garden               ,West       ,727.2000122,91
Tinsel County                  ,West       ,3117.600098,90
Aishwaryam hamara              ,North      ,4376.399902,62
High Mont                      ,West       ,7254,34
Springfield                    ,Central    ,6600,56
Ruturang                       ,Central    ,12805.7998,42
Shiv Sai Paradise              ,Thane      ,34906.80078,58
Hiranandani Meadows-Mayflower  ,Thane      ,11945.40039,55
Chaurang Terrace               ,East       ,2259,33
Green County                   ,East       ,5205,57
Sancheti Belcastle             ,East       ,4620,67
PGD Pinnacle                   ,East       ,1122,53
Rajveer Palace                 ,West       ,10964.40039,58
S3 Lifestyle apartment         ,West       ,2601,70
Capitol Towers                 ,West       ,1266,40
Amanora                        ,East       ,20317.80078,231
Megapolis-Sunway               ,West       ,7764,51
Megapolis-Sparklet             ,West       ,5163.600098,86
Relicon Garden Grove           ,South      ,6794.399902,317
Vitthal Heritage               ,South      ,3015.600098,304
Sai residency                  ,North      ,2905.199951,57
Anant Shilp                    ,West       ,7884,229
TinselTown                     ,West       ,7628.399902,85
Comfort Zone                   ,West       ,6124.799805,64
Iris                           ,West       ,3390,293
Blue Ridge-C tower             ,West       ,4993.799805,54
KUL Echoluch                   ,West       ,2058,34
Rohit walimbe Online           ,West       ,4800,44
Life Republic-R3               ,West       ,2683.800049,43
Life Republic-R4               ,West       ,3661.800049,59
Life Republic-R7               ,West       ,4175.399902,62
Aditya Garden City             ,West       ,735,246
Ishan Sanskruti                ,West       ,5719.799805,261
IVY Estate                     ,North      ,7715.399902,37
umang premier                  ,North      ,942,85
River Residency phase 3        ,North      ,5288.399902,69
Krystal City                   ,North      ,3373.800049,64
Blue Ridge-Unit A              ,West       ,4963.200195,31
Karishma Soc                   ,Central    ,9960,48
Elementa                       ,West       ,8631.599609,77
Sukhwani Sepia                 ,West       ,6646.200195,276
Gangadham Phase 2              ,Central    ,4931.399902,36
State Bank Nagar-              ,Central    ,2172,61
Sun Satellite                  ,Central    ,8160,80
Sun Orbit                      ,Central    ,8820,65
Pristine Fontana               ,West       ,9240,91
Ambience Antelia               ,West       ,7260,92
Miami                          ,South      ,11100,46
Ruturang-Aranyeshwar           ,Central    ,7980,67
DSK Vishwa                     ,South      ,10500,322
Sun Universe                   ,Central    ,18240,88
JARVARI                        ,West       ,4200,55
PARK ROYALE                    ,West       ,6480,78
BIARITZ 1                      ,West       ,4693.799805,61
NEA                            ,West       ,2731.199951,40
XERBIA                         ,North      ,1500,79
Sarthi Sinclair                ,West       ,2787,55
Amrutwel                       ,West       ,4346.399902,273
Florencia                      ,West       ,7171.200195,85
Mont Vert Seville              ,West       ,4544.399902,86
Amit Bloomfield                ,South      ,6107.399902,42
Ajinkyatara                    ,Central    ,1585.199951,75
Sudatta Sankul                 ,Central    ,2773.800049,96
Karan Palms+Greens             ,West       ,4846.799805,46
Anant Vaibhav                  ,West       ,2322.600098,257
Puraniks Abitante              ,West       ,3042,337
Vardhamanpura                  ,Central    ,657,67
Lake Vista                     ,South      ,5022.600098,316
Pride Aashiyana                ,North      ,12600,90
Goodwill 24 CHS                ,North      ,4200,64
Aditya Garden City             ,West       ,4570.799805,34
Royal Rahadki Ph1              ,West       ,9000,83
Rose Valley                    ,West       ,15600,67
Majestic aqua                  ,East       ,2904.600098,42
Armada                         ,West       ,4459.200195,77
Siddhivinayak Manas            ,South      ,3636.600098,65
Granduere                      ,South      ,5696.399902,74
Godrej Infinity                ,East       ,7692.600098,62
Vihana                         ,East       ,5245.200195,35
Amanora                        ,East       ,10957.7998,49
Godrej Infinity                ,East       ,8861.400391,3
Shivnagri                      ,Central    ,7719.600098,75
Sarita Vihar                   ,Central    ,3623.399902,37
Suvarna Rekha Shree            ,Central    ,2837.399902,85
Savannah Hills                 ,West       ,3192.600098,52
Sun Fantasy                    ,South      ,7200,68
