Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
241,Rohit walimbe Online,0,West,Baner,October,Q6,31-Oct-21,,Weekend,Self,repeat,0,4800
238,Life Republic-R3,600,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,3000,2683.8
239,Life Republic-R4,800,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,5000,3661.8
240,Life Republic-R7,800,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,2500,4175.4
242,Aditya Garden City,1012,West,Warje,November,Q6,1-Nov-21,neutral,,Self,repeat,1000,735
243,Ishan Sanskruti,250,West,Warje,November,Q6,1-Nov-21,excited,Weekday,Self,repeat,0,5719.8
244,IVY Estate,600,North,Wagholi,November,Q6,2-Nov-21,excited,Weekday,nobroker,repeat,2500,7715.4
245,umang premier,800,North,Wagholi,November,Q6,2-Nov-21,dull,Weekday,nobroker,repeat,3500,942
246,River Residency phase 3 ,466,North,Moshi,November,Q6,3-Nov-21,excited,Weekday,nobroker,repeat,3500,5288.4
247,Krystal City,300,North,Moshi,November,Q6,3-Nov-21,dull,Weekday,nobroker,repeat,3000,3373.8
248,Blue Ridge-Unit A,800,West,Hinjewadi,November,Q6,6-Nov-21,neutral,Weekday,self,repeat,3000,4963.2
249,Karishma Soc,400,Central,Kothrud,November,Q6,7-Nov-21,excited,Weekend,self,repeat,2000,9960
250,Elementa,900,West,Wakad,November,Q6,9-Nov-21,excited,Weekend,nobroker,repeat,4000,8631.6
251,Sukhwani Sepia,200,West,Wakad,November,Q6,9-Nov-21,excited,Weekday,self,repeat,0,6646.2
252,Gangadham Phase 2,740,Central,Bibwewadi,November,Q6,10-Nov-21,neutral,Weekday,nobroker,repeat,3500,4931.4
253,State Bank Nagar-,300,Central,Bibwewadi,November,Q6,10-Nov-21,dull,Weekday,nobroker,repeat,3000,2172
254,Sun Satellite,181,Central,Sinhagad road,November,Q6,11-Nov-21,excited,Weekday,self,repeat,0,8160
255,Sun Orbit,160,Central,Sinhagad road,November,Q6,11-Nov-21,excited,Weekday,self,repeat,0,8820
256,Pristine Fontana,300,West,Bavdhan,November,Q6,12-Nov-21,excited,Weekday,self,repeat,0,9240
257,Ambience Antelia,300,West,Bavdhan,November,Q6,12-Nov-21,excited,Weekday,self,repeat,0,7260
259,Miami,400,South,Dhayari,November,Q6,13-Nov-21,excited,Weekday,self,repeat,2500,11100
258,Ruturang-Aranyeshwar,150,Central,Sahakarnagar,November,Q6,13-Nov-21,excited,Weekend,self,repeat,0,7980
260,DSK Vishwa,2000,South,Dhayari,November,Q6,14-Nov-21,excited,Weekend,self,repeat,0,10500
261,Sun Universe,700,Central,Sinhagad road,November,Q6,14-Nov-21,excited,Weekend,self,repeat,1500,18240
262,JARVARI,317,West,Pimple Saudagar,November,Q6,16-Nov-21,neutral,Weekend,nobroker,repeat,2500,4200
263,PARK ROYALE,430,West,Pimple Saudagar,November,Q6,16-Nov-21,neutral,Weekday,self,repeat,3500,6480
264,BIARITZ 1,200,West,Baner,November,Q6,17-Nov-21,neutral,Weekday,self,repeat,1000,4693.8
265,NEA,200,West,Sus,November,Q6,17-Nov-21,neutral,Weekday,nobroker,repeat,1500,2731.2
266,XERBIA,1200,North,Chakan,November,Q6,18-Nov-21,dull,Weekday,nobroker,repeat,3000,1500
267,Sarthi Sinclair,200,West,Warje,November,Q6,19-Nov-21,neutral,Weekday,self,repeat,0,2787
268,Amrutwel,150,West,Warje,November,Q6,19-Nov-21,neutral,Weekday,self,repeat,0,4346.4
269,Florencia,300,West,Wakad,November,Q6,20-Nov-21,excited,Weekday,mygate,repeat,5000,7171.2
270,Mont Vert Seville,700,West,Wakad,November,Q6,20-Nov-21,excited,Weekend,self,repeat,1500,4544.4
271,Amit Bloomfield,600,South,Ambegaon,November,Q6,21-Nov-21,neutral,Weekend,self,repeat,5000,6107.4
272,Ajinkyatara,500,Central,Sinhagad road,November,Q6,24-Nov-21,dull,Weekend,nobroker,repeat,1700,1585.2
273,Sudatta Sankul,300,Central,Sinhagad road,November,Q6,24-Nov-21,neutral,Weekday,self,repeat,600,2773.8
274,Karan Palms+Greens,300,West,Warje,November,Q6,25-Nov-21,neutral,Weekday,Janhavi,repeat,1000,4846.8
275,Anant Vaibhav ,150,West,Bavdhan,November,Q6,26-Nov-21,neutral,Weekday,self,repeat,0,2322.6
276,Puraniks Abitante,450,West,Bavdhan,November,Q6,26-Nov-21,neutral,,self,repeat,1500,3042
277,Vardhamanpura,340,Central,Bibwewadi,November,Q6,27-Nov-21,dull,Weekday,mygate,repeat,5000,657
278,Lake Vista,700,South,Ambegaon,November,Q6,28-Nov-21,neutral,Weekend,self,repeat,2000,5022.6
279,Pride Aashiyana,450,North,Dhanori,November,Q6,28-Nov-21,excited,Weekend,mygate,repeat,5000,12600
280,Goodwill 24 CHS,250,North,Dhanori,November,Q6,28-Nov-21,neutral,Weekend,nobroker,repeat,2500,4200
281,Aditya Garden City,1200,West,Warje,December,Q6,4-Dec-21,neutral,Weekend,self,repeat,1000,4570.8
282,Royal Rahadki Ph1,500,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,5000,9000
283,Rose Valley,300,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,2000,15600
284,Majestic aqua,450,East,Phursungi,December,Q6,8-Dec-21,dull,Weekend,nobroker,repeat,2500,2904.6
285,Armada,250,West,Wakad,December,Q6,9-Dec-21,neutral,Weekday,nobroker,repeat,2500,4459.2
286,Siddhivinayak Manas,200,South,Dhayari,December,Q6,10-Dec-21,neutral,Weekday,nobroker,repeat,1500,3636.6
287,Granduere,250,South,Dhayari,December,Q6,10-Dec-21,neutral,Weekday,nobroker,repeat,1700,5696.4
288,Godrej Infinity,1200,East,Keshavnagar,December,Q6,11-Dec-21,excited,Weekday,self,repeat,2500,7692.6
289,Vihana,200,East,Keshavnagar,December,Q6,11-Dec-21,neutral,Weekend,self,repeat,1500,5245.2
291,Amanora,2000,East,Hadapsar,December,Q6,12-Dec-21,excited,Weekend,self,repeat,5900,10957.8
290,Godrej Infinity,1200,East,Keshavnagar,December,Q6,12-Dec-21,excited,Weekend,self,repeat,2500,8861.4
292,Shivnagri,200,Central,Kothrud,December,Q6,14-Dec-21,excited,Weekend,nobroker,repeat,1500,7719.6
293,Sarita Vihar,170,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0,3623.4
294,Suvarna Rekha Shree,170,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0,2837.4
295,Savannah Hills,100,West,Bavdhan,December,Q6,16-Dec-21,neutral,Weekday,Self,repeat,0,3192.6
297,Sun Fantasy,150,South,Ambegaon,December,Q6,17-Dec-21,,Weekday,nobroker,repeat,1500,7200
296,Shweta Soc,100,Central,Sinhagad road,December,Q6,17-Dec-21,,Weekday,self,repeat,0,7200
298,Tirupati Campus,200,North,Tingrenagar,December,Q6,18-Dec-21,,Weekday,self,repeat,2000,12000
299,Nyati Environ,200,North,Tingrenagar,December,Q6,18-Dec-21,,Weekend,self,repeat,2000,17076
300,COEP,1000,Central,Shivajinagar,December,Q6,18-December,,Weekend,,repeat,6740,287.4
301,Bhosalenagar,200,Central,Kothrud,December,Q6,19-December,,Weekend,,repeat,0,2839.2
302,Parth Enclave,200,Central,Karvenagar,December,Q6,19-December,,Weekend,,repeat,0,6492
303,Rose County,380,West,Pimple Saudagar,December,Q6,21-December,,Weekend,,repeat,2500,6505.2
304,Megapolis Symphony,380,West,Hinjewadi,December,Q6,22-December,,Weekday,,repeat,2500,2280
305,SHONEST,300,West,Wakad,December,Q6,23-December,,Weekday,,repeat,2000,3900
306,SILVER SKY,300,West,Wakad,December,Q6,23-December,,Weekday,,repeat,3000,13500
307,Life Republic- R7,800,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,4000,4800
308,Life Republic- R4,800,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,5000,5400
309,Rohan Mithila- E1-E9,200,North,Vimannagar,December,Q6,25-December,,Weekday,,repeat,0,6026.4
310,Rohan Mithila-A-Y,200,North,Vimannagar,December,Q6,25-December,,Weekend,,repeat,1000,972.6
311,Alcon Renaissant,200,North,Kharadi,December,Q6,25-December,,Weekend,,repeat,1000,7801.2
312,Nyati Empire,400,North,Kharadi,December,Q6,26-December,,Weekend,,repeat,3000,10810.2
313,Forest County,700,North,Kharadi,December,Q6,26-December,,Weekend,,repeat,2000,16164
314,Jade Residency,300,North,Wagholi,December,Q6,28-December,,Weekend,,repeat,2000,7705.2
315,Vella Bita,100,North,Wagholi,December,Q6,28-December,,Weekday,,repeat,3000,5242.2
316,Konark Nagar,300,North,Vimannagar,December,Q6,29-December,,Weekday,,repeat,5000,4800
317,Ganga Constella,400,North,Kharadi,December,Q6,29-December,,Weekday,,repeat,5000,4800
318,Eden Garden,300,North,Vimannagar,December,Q6,30-December,,Weekday,,repeat,3000,2866.2
319,Ganga Nebula,300,North,Vimannagar,December,Q6,30-December,,Weekday,,repeat,2000,3600
320,Aditya Garden City,1000,Central,Warje,December,Q6,1-January,,Weekday,,repeat,1000,8449.2
321,Kapil Abhijat,250,West,Kothrud,JANUARY,Q7,2-January,,Weekend,,repeat,2500,19200
322,Nyati Equatorial,300,West,Bavdhan,JANUARY,Q7,2-January,,Weekend,,repeat,3000,12900
323,Opus 77,200,West,Wakad,JANUARY,Q7,4-January,,Weekend,,repeat,2000,6624.6
324,Malpani green,200,West,Wakad,JANUARY,Q7,4-January,,Weekday,,repeat,1500,6712.2
325,Loksangam,200,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,2000,1800
326,Shanti Niketan,200,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,3000,1626
327,7 Avenue,200,West,Balewadi,JANUARY,Q7,6-January,,Weekday,,repeat,2500,5180.4
328,Skyline,300,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,2000,6000
329,Windwards,300,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,3000,5540.4
330,Mont vert tropez,300,West,Wakad,JANUARY,Q7,8-January,,Weekday,,repeat,1500,6000
331,Sonigara Kesar,300,West,Wakad,JANUARY,Q7,8-January,,Weekend,,repeat,3000,9000
332,Kunal Icon,400,West,Pimple Saudagar,JANUARY,Q7,9-January,,Weekend,,repeat,4130,12000
333,QUEES PARK,200,West,PIMPLE SAUDAGAR,,,,,,,new,,0
334,THE CREST,260,West,PIMPLE SAUDAGAR,,,,,,,new,,
335,AAKASHGANGA,285,West,PIMPLE SAUDAGAR,,,,,,,new,,
336,KUNAL ICON,750,West,PIMPLE SAUDAGAR,,,,,,,new,,
337,SONIGARA,650,West,WAKAD,,,,,,,new,,
338,PROLIFE,178,West,WAKAD,,,,,,,new,,
339,MONTVERT-TROPEZ,450,West,WAKAD,,,,,,,new,,
340,MIRCHANDANI PALMS,350,West,PIMPLE SAUDAGAR,,,,,,,new,,
341,LAXMI AANGAL,160,West,PIMPLE SAUDAGAR,,,,,,,new,,
342,SHRI SAI VISHWA ,310,West,PIMPLE SAUDAGAR,,,,,,,new,,
343,LAKSHDEEP,235,West,PIMPLE SAUDAGAR,,,,,,,new,,
344,HORIZON,320,West,WAKAD,,,,,,,new,,
345,PRIME PLUS,350,West,PIMPLE SAUDAGAR,,,,,,,new,,
346,SUNSCREAT,122,West,PIMPLE SAUDAGAR,,,,,,,new,,
347,SHRI GAMESH  APT.,285,West,PIMPLE SAUDAGAR,,,,,,,new,,
348,ALCOVE,290,West,PIMPLE SAUDAGAR,,,,,,,new,,
349,RADHANAGARI,310,West,PIMPLE SAUDAGAR,,,,,,,new,,
350,KALPATARU,310,West,WAKAD,,,,,,,new,,
351,SKYLINE,350,West,WAKAD,,,,,,,new,,
352,WINDWARDS,300,West,WAKAD,,,,,,,new,,
353,PALASH PLUS,115,West,WAKAD,,,,,,,new,,
354,LATITUTE,280,West,WAKAD,,,,,,,new,,
355,MALPANI GREENS,300,West,WAKAD,,,,,,,new,,
356,OMEGA,280,West,WAKAD,,,,,,,new,,
357,PARKWAYS,280,West,WAKAD,,,,,,,new,,
358,"SIDHARTH TOWER 1,2,3",370,West,AUNDH,,,,,,,new,,
359,ATHSHRI ,350,West,BANER,,,,,,,new,,
360,CRISTAL GARDEN ,350,West,BANER ,,,,,,,new,,
361,BLOSSOM SPRINGS,320,West,BANER ,,,,,,,new,,
362,NYATI,310,West,BAVDHAN,,,,,,,new,,
363,Mahesh Paradise,290,West,AUNDH,,,,,,,new,,
364,KUMAR,290,West,AUNDH,,,,,,,new,,
365,CLARION PARK,210,West,AUNDH,,,,,,,new,,
366,SURBHI PARK,200,West,AUNDH,,,,,,,new,,
367,PINNAC,200,West,AUNDH,,,,,,,new,,
368,NIKAS SKIES,150,West,BANER ,,,,,,,new,,
369,SHREEJEE PARADIES,150,West,AUNDH,,,,,,,new,,
370,HIGHCLASS,120,West,BAVDHAN,,,,,,,new,,
371,clover Aropolice,280,East,VIMAN NAGR,,,,,,,new,,
372,GANGA CONSTELLA,750,East,KHARADI,,,,,,,new,,
373,KONARK CAMPS,550,East,VIMAN NAGR,,,,,,,new,,
374,LUNKAD GOLD COURCE,290,East,VIMAN NAGR,,,,,,,new,,
375,GERA EMPROD,410,East,kharadi,,,,,,,new,,
376,ROSE AND LOUTAS,450,East,VIMAN NAGR,,,,,,,new,,
377,LUNKAD MAZON,280,East,VIMAN NAGR,,,,,,,new,,
378,MOUNTS GLORY,330,East,KHARADI,,,,,,,new,,
379,Eden Garden,315,East,VIMAN NAGR,,,,,,,new,,
380,GULMOHAR Parkviews,240,East,KHARADI,,,,,,,new,,
381,GERA NORTH,220,East,KHARADI,,,,,,,new,,
382,GANGA NOBLE,211,East,VIMAN NAGR,,,,,,,new,,
383,DECCAN GOLD,450,East,KHARADI,,,,,,,new,,
384,LUNKAD QUEESLAND,180,East,VIMAN NAGR,,,,,,,new,,
385,URBAN NIRVAN,180,East,KHARADI,,,,,,,new,,
386,LALVANI VASTU,132,East,VIMAN NAGR,,,,,,,new,,
387,MARVAL ENGIME,110,East,KHARADI,,,,,,,new,,
388,Blue Berry,100,East,kharadi,,,,,,,new,,
389,KUMAR PRIMROSE,94,East,KHARADI,,,,,,,new,,
390,SATIC BRICS,90,East,KHARADI,,,,,,,new,,
391,Langtons,290,East,kharadi,,,,,,,new,,
392,LUNKAD COLONNADE,75,East,VIMAN NAGR,,,,,,,new,,
393,GULMOHAR Orchid,420,East,KHARADI,,,,,,,new,,
394,konak medoes,168,East,WAGHOLI,,,,,,,new,,
395,solacia ph2,327,East,WAGHOLI,,,,,,,new,,
396,jade residency,310,East,WAGHOLI,,,,,,,new,,
397,sai sasanskriti,188,East,WAGHOLI,,,,,,,new,,
398,savaana CHS,310,East,WAGHOLI,,,,,,,new,,
399,oxy ultra CHS,260,East,WAGHOLI,,,,,,,new,,
400,Vella Bita,310,East,WAGHOLI,,,,,,,new,,
401,konark oasis,105,East,WAGHOLI,,,,,,,new,,
402,Bellevie CHS,280,East,WAGHOLI,,,,,,,new,,
403,Konark orchid,500,East,WAGHOLI,,,,,,,new,,
404,konark exotica,240,East,WAGHOLI,,,,,,,new,,
405,GKG pavarang,280,East,WAGHOLI,,,,,,,new,,
406,blessing,135,East,WAGHOLI,,,,,,,new,,
407,Aura County,290,East,WAGHOLI,,,,,,,new,,
408,Rakshak Nagar Ph-2,310,East,WAGHOLI,,,,,,,new,,
409,RIDHI SIDHI PARK,290,East,WAGHOLI,,,,,,,new,,
410,FORTUNE ESATE,410,East,WAGHOLI,,,,,,,new,,
411,SERCATE HART,600,East,WANAVADI,,,,,,,new,,
412,BRAMAHA AANGAN,350,East,WANAVADI,,,,,,,new,,
413,OXFORD VILLGE,168,East,WANAVADI,,,,,,,new,,
414,FLOWER VALLEY,331,East,WANAVADI,,,,,,,new,,
415,BRAMHA EXUBERANCE,250,East,WANAVADI,,,,,,,new,,
416,HILL MIST HARMONY,380,East,WANAVADI,,,,,,,new,,
417,MAYFAIRE ELEGA,300,East,WANAVADI,,,,,,,new,,
418,CLOVER VILLAGE,500,East,WANAVADI,,,,,,,new,,
419,UTPPIA,340,East,WANAVADI,,,,,,,new,,
420,FLOWER VALLEY,280,East,WANAVADI,,,,,,,new,,
421,BRAMHA EMRALD COUNTY,450,East,WANAVADI,,,,,,,new,,
422,GANGA SABERA,310,East,Wanawadi,,,,,,,new,,
423,Salunke vihar,450,East,Wanawadi,,,,,,,new,,
424,green vally,202,East,Wanwadi,,,,,,,new,,
425,CITADEL PH.1,310,East,"B.T.Kavde Road, Ghorpadi",,,,,,,new,,
426,CITADEL PH.2,305,East,"B.T.Kavde Road, Ghorpadi",,,,,,,new,,
427,SILVER DALE,280,East,"B.T.Kavde Road, Ghorpadi",,,,,,,new,,
428,PLAM GROVER,138,East,"B.T.Kavde Road, Ghorpadi",,,,,,,new,,
429,SOLACE PARK,228,East,"B.T.Kavde Road, Ghorpadi",,,,,,,new,,
430,CITALE EMPRESS,305,East,"B.T.Kavde Road, Ghorpadi",,,,,,,new,,
431,Bramha Skycity,530,North,Nagar Road,,,,,,,new,,
432,Kukreja Heritage,,North,Nagar Road,,,,,,,new,,
433,Nyati Evita,240,North,Nagar Road,,,,,,,new,,
434,Pallidum Homes,,North,Nagar Road,,,,,,,new,,
435,Shreewoods Soc. ,,North,Nagar Road,,,,,,,new,,
436,Siddeshwar Soc,,North,Nagar Road,,,,,,,new,,
437,Splendid Square,148,North,Nagar Road,,,,,,,new,,
438,Uttam Townspace,520,North,Nagar Road,,,,,,,new,,
439,Nyati Elan,740,North,Nagar Road,,,,,,,new,,
440,Rose Parade,200,South,N.I.B.M,,,,,,,new,,
441,Amba Vatika,350,South,N.I.B.M,,,,,,,new,,
442,Natasha Enclave,250,South,N.I.B.M,,,,,,,new,,
443,Natasha Highland,250,South,N.I.B.M,,,,,,,new,,
444,Brahma Majestique,477,South,N.I.B.M,,,,,,,new,,
445,Kubera Colony,310,South,N.I.B.M,,,,,,,new,,
446,Konark Indrayu Enclave,350,South,N.I.B.M,,,,,,,new,,
447,HILLS AND DALES,280,South,UNDRI,,,,,,,new,,
448,MISTY MOORS,310,South,UNDRI,,,,,,,new,,
449,ORCHID PLACE,350,South,UNDRI,,,,,,,new,,
450,Nyati Enclave,320,South,Undri,,,,,,,new,,
451,Iris,210,South,Undri,,,,,,,new,,
452,Atur Park,320,South,Undri,,,,,,,new,,
453,Bramha Avenue,320,South,Undri,,,,,,,new,,
454,Gopi Puram,250,South,Undri,,,,,,,new,,
455,YOGI PARK,310,East,K.P,,,,,,,new,,
456,MUGHAL GARDON,180,East,K.P,,,,,,,new,,
457,KUMAR SUPJONIA,320,East,K.P,,,,,,,new,,
458,PRINCETON TOWN,315,East,K.P,,,,,,,new,,
459,GANGA ORCHID,280,East,K.P,,,,,,,new,,
460,OAKWOOD APRTMENT,210,East,K.P,,,,,,,new,,
461,GANGA HAMLET,280,East,K.P,,,,,,,new,,
462,LEELA GAEDEN,180,East,K.P,,,,,,,new,,
463,CELEBRIA,280,East,HADPSAR,,,,,,,new,,
464,KUMAR PICASSO,285,East,HADPSAR,,,,,,,new,,
465,VISTA LUCURIA,210,East,HADPSAR,,,,,,,new,,
466,SUNDAR SANKUL,290,East,HADPSAR,,,,,,,new,,
467,DREAM RAGINI,295,East,HADPSAR,,,,,,,new,,
468,MI CASA,290,East,HADPSAR,,,,,,,new,,
469,GANGA RECIDENCY,280,East,HADPSAR,,,,,,,new,,
470,KUMAR PURVA,250,East,HADPSAR,,,,,,,new,,
471,MANJARI GREEN PH. V,250,East,HADPSAR,,,,,,,new,,
472,DREAM ESATE,280,East,HADPSAR,,,,,,,new,,
473,EISHA EMPIRE,290,East,HADPSAR,,,,,,,new,,
474,RUNWAL SEAGULL,305,East,HADPSAR,,,,,,,new,,
475,GANGA VILLIGE,310,East,HADPSAR,,,,,,,new,,
476,URBAN BANALCE REC.,250,East,HADPSAR,,,,,,,new,,
477,DREAM EIINA,250,East,HADPSAR,,,,,,,new,,
478,GREEN CITY,250,East,HADPSAR,,,,,,,new,,
479,ASHOK NAGAR APRT.,200,East,HADPSAR,,,,,,,new,,
480,NAMO VIHAR,205,East,HADPSAR,,,,,,,new,,
481,ARYAN CENTER,280,East,HADPSAR,,,,,,,new,,
482,AMAR PLACE,210,East,HADPSAR,,,,,,,new,,
483,TODKAR TOWSHIP,290,East,HADPSAR,,,,,,,new,,
484,AGRWAL TOWERS,310,East,HADPSAR,,,,,,,new,,
485,GANGA RECIDENCY,350,East,HADPSAR,,,,,,,new,,
486,KUBER SANKUL,450,East,HADPSAR,,,,,,,new,,
