Date,Society 1,Society 2,Area,Zone,Week Number,Standard,Flat Count
To be decided,Mahatma Soc,Mahatma Soc,Kothrud,Central,To be decided,Medium,300
To be decided,Sigma One,Sigma One,Kothrud,Central,To be decided,Medium,132
To be decided,Forest trails,Forest trails,Bhugaon,West,To be decided,Medium,250
To be decided,"Rohan leher 1,2, alacrity","Rohan leher 1,2, alacrity",Baner,West,To be decided,Medium,300
To be decided,JK Hills,JK Hills,Dhayari,South,To be decided,Medium,250
To be decided,9 green park,9 green park,Sahakarnagar,Central,To be decided,Medium,120
To be decided,Bhosalenagar,Bhosalenagar,Bhosalenagar,Central,To be decided,Medium,200
To be decided,Mont Vert,Mont Vert,Wakad,West,To be decided,Medium,400
To be decided,Kumar Picadilly,Kumar Picadilly,Wakad,West,To be decided,Medium,250
To be decided,Dreams estate,Dreams estate,Hadapsar,East,To be decided,Worst,300
To be decided,saudamini,saudamini,Bhusari colony,Central,To be decided,Medium,200
To be decided,Amanora,Amanora,Hadapsar,East,To be decided,Angel,1500
To be decided,DSK Vishwa,DSK Vishwa,Dhayari,South,To be decided,Medium,700
To be decided,Ambience Antelia,Ambience Antelia,Bavdhan,West,To be decided,Medium,200
To be decided,Sai park,Sai park,Katraj,South,To be decided,Medium,150
To be decided,Sun Empire,Sun Empire,Sinhagad road,Central,To be decided,Medium,450
To be decided,Sudarshan ,Sudarshan ,Karvenagar,West,To be decided,Medium,84
To be decided,Sun City,Sun City,Sinhagad road,Central,To be decided,Medium,400
To be decided,Mahadkar residency ,Mahadkar residency ,Bhusari colony,Central,To be decided,Medium,150
To be decided,Rohan Mithila,Rohan Mithila,Vimanagar,North,To be decided,Medium,300
To be decided,Westend village ,Westend village ,Bhusari colony,Central,To be decided,Medium,200
To be decided,Sun Universe ,Sun Universe ,Sinhagad road,Central,To be decided,Medium,750
To be decided,Sudatta sankul,Sudatta sankul,Sinhagad road,Central,To be decided,Medium,180
To be decided,Anant Shilp,Anant Shilp,Bavdhan,West,To be decided,Medium,200
To be decided,Colori,Colori,Undri,South,To be decided,Medium,250
To be decided,38 Majestique,38 Majestique,Undri,South,To be decided,Medium,100
To be decided,Relicon Garden Grove,Relicon Garden Grove,Ambegaon,South,To be decided,Medium,250
To be decided,Meenaxipuram,Meenaxipuram,Sinhagad road,Central,To be decided,Medium,250
To be decided,Windsor COunty,Windsor COunty,Ambegaon,South,To be decided,Medium,200
To be decided,Kasturkunj,Kasturkunj,Bhosalenagar,Central,To be decided,Medium,250
To be decided,Swara nagri,Swara nagri,Sinhagad road,Central,To be decided,Medium,250
To be decided,Vitthal Heritage,Vitthal Heritage,Ambegaon,South,To be decided,Medium,250
