Date,Society 1,Society 2,Area,Zone,Week Number,Standard
To be decided,Sarita Vihar,Sarita Vihar,Sinhagad road,Central,To be decided,Medium
To be decided,Suvarna Rekha Shree,Suvarna Rekha Shree,Sinhagad road,Central,To be decided,Medium
To be decided,Shweta Soc,Shweta Soc,Sinhagad road,Central,To be decided,Medium
To be decided,Bhosalenagar,Bhosalenagar,Kothrud,Central,To be decided,Medium
To be decided,Rose County,Rose County,Pimple Saudagar,West,To be decided,Medium
To be decided,Megapolis Symphony,Megapolis Symphony,Hinjewadi,West,To be decided,Worst
To be decided,SHONEST,SHONEST,Wakad,West,To be decided,Medium
To be decided,SILVER SKY,SILVER SKY,Wakad,West,To be decided,Medium
To be decided,Life Republic- R7,Life Republic- R7,Hinjewadi,West,To be decided,Angel
To be decided,Life Republic- R4,Life Republic- R4,Hinjewadi,West,To be decided,Angel
To be decided,Rohan Mithila-A-Y,Rohan Mithila-A-Y,Vimannagar,North,To be decided,Worst
To be decided,Alcon Renaissant,Alcon Renaissant,Kharadi,North,To be decided,Medium
To be decided,Nyati Empire,Nyati Empire,Kharadi,North,To be decided,Medium
To be decided,Jade Residency,Jade Residency,Wagholi,North,To be decided,Medium
To be decided,Vella Bita,Vella Bita,Wagholi,North,To be decided,Medium
To be decided,Kapil Abhijat,Kapil Abhijat,Kothrud,West,To be decided,Medium
To be decided,Opus 77,Opus 77,Wakad,West,To be decided,Medium
To be decided,Malpani green,Malpani green,Wakad,West,To be decided,Medium
To be decided,Loksangam,Loksangam,Aundh,West,To be decided,Worst
To be decided,Shanti Niketan,Shanti Niketan,Aundh,West,To be decided,Worst
To be decided,Skyline,Skyline,Wakad,West,To be decided,Medium
To be decided,Windwards,Windwards,Wakad,West,To be decided,Medium
To be decided,Mont vert tropez,Mont vert tropez,Wakad,West,To be decided,Medium
To be decided,Sonigara Kesar,Sonigara Kesar,Wakad,West,To be decided,Medium
To be decided,Kunal Icon,Kunal Icon,Pimple Saudagar,West,To be decided,Medium
To be decided,Puraniks Abitante,Puraniks Abitante,Bavdhan,West,To be decided,Medium
To be decided,Regalia Bavdhan,Regalia Bavdhan,Bavdhan,West,To be decided,Worst
To be decided,Savannah Hills,Savannah Hills,Bavdhan,West,To be decided,Medium
To be decided,Suvarna Park,Suvarna Park,Bavdhan,West,To be decided,Medium
To be decided,TinselTown,TinselTown,Bavdhan,West,To be decided,Medium
To be decided,Vaidehi Enclave,Vaidehi Enclave,Bavdhan,West,To be decided,Medium
To be decided,Valle Vista,Valle Vista,Bavdhan,West,To be decided,Medium
To be decided,Viola,Viola,Warje,Central,To be decided,Medium
To be decided,Vallonia,Vallonia,Bavdhan,West,To be decided,Medium
